Notice,Created,MinTradeSize,IsSponsored,BaseCurrencyLong,MarketName,IsActive,LogoUrl,MarketCurrencyLong,BaseCurrency,MarketCurrency
None,2016-05-24T18:49:52.77,0.35896847,False,Bitcoin,BTC-LSK,True,https://bittrexblobstorage.blob.core.windows.net/public/ae0a977a-ce1f-49bd-9023-e3a9ad3ca174.png,Lisk,BTC,LSK
None,2016-06-02T04:39:35.21,36.98224852,None,Bitcoin,BTC-PDC,True,https://bittrex.com/Content/img/symbols/BTC.png,Project Decorum,BTC,PDC
None,2016-06-13T02:27:33.34,18.1356547,None,Bitcoin,BTC-BRK,True,https://bittrexblobstorage.blob.core.windows.net/public/10d49588-2cff-4a8e-88dd-136d9d34c292.png,Breakout,BTC,BRK
None,2016-06-14T16:25:12.063,0.04901961,None,Bitcoin,BTC-DGD,True,https://bittrexblobstorage.blob.core.windows.net/public/dcb250f9-35d7-41da-84e3-7f272bd34278.png,DigixDAO,BTC,DGD
None,2016-06-17T18:51:39.087,0.09302326,None,Ethereum,ETH-DGD,True,https://bittrexblobstorage.blob.core.windows.net/public/dcb250f9-35d7-41da-84e3-7f272bd34278.png,Digix DAO,ETH,DGD
None,2016-06-19T15:46:31.167,0.5528894,None,Bitcoin,BTC-WAVES,True,https://bittrexblobstorage.blob.core.windows.net/public/50dddb89-d30b-4515-b91b-5842f9dbe1fd.png,Waves,BTC,WAVES
None,2016-06-24T17:00:00.043,12.7064803,False,Bitcoin,BTC-RISE,True,https://bittrexblobstorage.blob.core.windows.net/public/3265e87c-bbfd-4c32-b517-e53d699c698b.png,Rise,BTC,RISE
None,2016-07-05T21:50:07.81,12.65822785,None,Bitcoin,BTC-LBC,True,https://bittrexblobstorage.blob.core.windows.net/public/34cd79d9-22f3-4cfc-847c-64c0c8bcd115.png,LBRY Credits,BTC,LBC
None,2016-07-09T19:02:08.943,0.7473283,None,Bitcoin,BTC-SBD,True,https://i.imgur.com/kJDHkhv.png,SteemDollars,BTC,SBD
None,2016-07-10T21:25:05.127,6.42673522,None,Bitcoin,BTC-BRX,True,https://bittrexblobstorage.blob.core.windows.net/public/485da401-9286-4c80-a2a6-83c7189b3315.png,Breakout Stake,BTC,BRX
None,2016-07-26T18:10:22.82,0.23809524,None,Bitcoin,BTC-ETC,True,https://bittrexblobstorage.blob.core.windows.net/public/efc96992-1993-4a91-84cf-c04fea919788.png,Ethereum Classic,BTC,ETC
None,2016-07-28T21:45:59.05,0.45870813,None,Ethereum,ETH-ETC,True,https://bittrexblobstorage.blob.core.windows.net/public/efc96992-1993-4a91-84cf-c04fea919788.png,Ethereum Classic,ETH,ETC
None,2016-08-10T23:26:39.657,0.69027404,None,Bitcoin,BTC-STRAT,True,https://bittrexblobstorage.blob.core.windows.net/public/74083684-8817-4e0e-9107-7fcc129f4e73.png,Stratis,BTC,STRAT
None,2016-08-24T21:39:28.357,5.66893424,None,Bitcoin,BTC-UNB,True,https://i.imgur.com/LULMV74.png,UnbreakableCoin,BTC,UNB
None,2016-08-25T21:23:15.27,15.03307276,None,Bitcoin,BTC-SYNX,True,https://bittrexblobstorage.blob.core.windows.net/public/360d215f-593a-4477-9881-19aad0575759.png,Syndicate,BTC,SYNX
None,2016-09-08T05:59:08.183,4.7187618,None,Bitcoin,BTC-TRIG,True,https://bittrexblobstorage.blob.core.windows.net/public/790ce72b-4877-4ccf-b642-dd156b9f712f.png,TRIG Token,BTC,TRIG
None,2016-09-15T15:47:38.92,34.0599455,None,Bitcoin,BTC-EBST,True,https://bittrex.com/Content/img/symbols/BTC.png,eBoost,BTC,EBST
None,2016-09-16T04:52:17.637,1.65793488,None,Bitcoin,BTC-VRM,True,https://bittrexblobstorage.blob.core.windows.net/public/859ca6d4-677b-4cae-82af-b533c5f327db.png,Verium,BTC,VRM
None,2016-09-23T07:10:11.78,25.30364372,None,Bitcoin,BTC-SEQ,True,https://bittrexblobstorage.blob.core.windows.net/public/472a3136-87e6-4650-844a-391618b07a0d.png,Sequence,BTC,SEQ
None,2016-10-04T15:45:37.14,0.10683761,None,Bitcoin,BTC-REP,True,https://bittrexblobstorage.blob.core.windows.net/public/cb9a7857-2c08-44e4-b6a9-c8248bb5a927.png,Augur,BTC,REP
None,2016-10-11T19:48:35.573,1.19337439,None,Bitcoin,BTC-SHIFT,True,https://bittrexblobstorage.blob.core.windows.net/public/bf2fd35f-ed49-44fd-a45c-5a5413ec51b3.png,Shift,BTC,SHIFT
None,2016-10-13T18:59:37.407,6.40122904,None,Bitcoin,BTC-ARDR,True,https://bittrexblobstorage.blob.core.windows.net/public/8e029f78-40b1-4cdc-89af-55dd4d2d30dd.png,Ardor,BTC,ARDR
None,2016-10-20T04:48:30.387,0.09391753,None,Bitcoin,BTC-XZC,True,https://bittrexblobstorage.blob.core.windows.net/public/3f69474d-8e7b-4164-9ad8-2fe8ef3fb5e0.png,ZCoin,BTC,XZC
None,2016-10-26T01:28:31.96,0.11958833,None,Bitcoin,BTC-NEO,True,https://bittrexblobstorage.blob.core.windows.net/public/ed823972-8cfd-4f1f-a91d-f638ba20bf02.png,Neo,BTC,NEO
None,2016-10-28T17:13:10.833,0.0133369,None,Bitcoin,BTC-ZEC,True,https://bittrexblobstorage.blob.core.windows.net/public/db51f5f5-3728-4e12-b32f-ea3f4825038b.png,Zcash,BTC,ZEC
None,2016-11-15T20:29:59.73,1.7456272,None,Bitcoin,BTC-ZCL,True,https://bittrexblobstorage.blob.core.windows.net/public/7cf275d8-b553-4244-8dbf-42c328f44e93.png,Zclassic,BTC,ZCL
None,2016-12-22T00:54:23.477,1.19485733,None,Bitcoin,BTC-IOP,True,https://bittrexblobstorage.blob.core.windows.net/public/c8a454c7-b79b-4913-afa8-994561997be1.png,Internet Of People,BTC,IOP
None,2017-01-19T23:23:12.41,32.05128205,None,Bitcoin,BTC-GOLOS,True,https://bittrexblobstorage.blob.core.windows.net/public/f8023b03-7018-4f55-a00f-2a3c070eaec5.png,Golos,BTC,GOLOS
None,2017-02-08T17:00:59.02,2.08229219,None,Bitcoin,BTC-UBQ,True,https://bittrexblobstorage.blob.core.windows.net/public/ab54ae22-05bc-4f49-9aa1-2406628f46db.png,Ubiq,BTC,UBQ
None,2017-02-11T23:04:01.853,0.60801362,None,Bitcoin,BTC-KMD,True,https://bittrexblobstorage.blob.core.windows.net/public/ec8df0e5-f320-44c5-abc4-116bacc31336.png,Komodo,BTC,KMD
None,2017-02-12T00:38:21.023,34.0367597,None,Bitcoin,BTC-GBG,True,https://bittrex.com/Content/img/symbols/BTC.png,GBG,BTC,GBG
None,2017-02-18T22:34:49.373,2.45098039,None,Bitcoin,BTC-SIB,True,https://bittrexblobstorage.blob.core.windows.net/public/3d9cf994-cb34-4c5d-a67c-5237474e07ff.png,Siberian Chervonets,BTC,SIB
None,2017-02-18T23:41:17.04,3.066544,None,Bitcoin,BTC-ION,True,https://bittrexblobstorage.blob.core.windows.net/public/7330bf34-9edc-41f4-96d8-276d85ee8ebd.png,Ion,BTC,ION
None,2017-02-18T23:55:53.153,87.71929825,None,Bitcoin,BTC-LMC,True,https://bittrexblobstorage.blob.core.windows.net/public/2094f9e1-2ec0-46e5-8c03-a43b153b7f78.png,Lomocoin,BTC,LMC
